Episode 1: reward=400.14  mean=400.14
Episode 2: reward=421.50  mean=410.82
Episode 3: reward=2142.54  mean=988.06
Episode 4: reward=2067.42  mean=1257.90
Episode 5: reward=1302.60  mean=1266.84
Episode 6: reward=1985.73  mean=1386.65
Episode 7: reward=1084.84  mean=1343.54
Episode 8: reward=516.11  mean=1240.11
Episode 9: reward=1604.75  mean=1280.63
Episode 10: reward=974.09  mean=1249.97
Episode 11: reward=1223.60  mean=1247.58
Episode 12: reward=1550.43  mean=1272.81
Episode 13: reward=696.83  mean=1228.51
Episode 14: reward=1042.23  mean=1215.20
Episode 15: reward=516.30  mean=1168.61
Episode 16: reward=2032.44  mean=1222.60
Episode 17: reward=1119.30  mean=1216.52
Episode 18: reward=1929.55  mean=1256.13
Episode 19: reward=1303.99  mean=1258.65
Episode 20: reward=1974.32  mean=1294.43
Episode 21: reward=287.17  mean=1246.47
Episode 22: reward=693.71  mean=1221.34
Episode 23: reward=313.78  mean=1181.89
Episode 24: reward=1978.64  mean=1215.08
Episode 25: reward=714.73  mean=1195.07
Episode 26: reward=1333.49  mean=1200.39
Episode 27: reward=1996.37  mean=1229.87
Episode 28: reward=1907.15  mean=1254.06
Episode 29: reward=789.82  mean=1238.05
Episode 30: reward=854.43  mean=1225.27
Episode 31: reward=1011.16  mean=1218.36
Episode 32: reward=1006.28  mean=1211.73
Episode 33: reward=1454.32  mean=1219.08
Episode 34: reward=722.65  mean=1204.48
Episode 35: reward=2033.72  mean=1228.18
Episode 36: reward=2037.45  mean=1250.66
Episode 37: reward=958.71  mean=1242.77
Episode 38: reward=1147.45  mean=1240.26
Episode 39: reward=2069.71  mean=1261.52
Episode 40: reward=1946.79  mean=1278.66
Episode 41: reward=480.78  mean=1259.20
Episode 42: reward=593.13  mean=1243.34
Episode 43: reward=2006.09  mean=1261.08
Episode 44: reward=1932.55  mean=1276.34
Episode 45: reward=1916.03  mean=1290.55
Episode 46: reward=1372.64  mean=1292.34
Episode 47: reward=1902.56  mean=1305.32
Episode 48: reward=2013.92  mean=1320.08
Episode 49: reward=2043.86  mean=1334.85
Episode 50: reward=563.00  mean=1319.42
Episode 51: reward=798.53  mean=1309.20
Episode 52: reward=1597.99  mean=1314.76
Episode 53: reward=1891.53  mean=1325.64
Episode 54: reward=883.66  mean=1317.45
Episode 55: reward=1105.31  mean=1313.60
Episode 56: reward=1686.37  mean=1320.25
Episode 57: reward=1948.19  mean=1331.27
Episode 58: reward=1510.90  mean=1334.37
Episode 59: reward=760.41  mean=1324.64
Episode 60: reward=2004.14  mean=1335.96
Episode 61: reward=1779.77  mean=1343.24
Episode 62: reward=724.21  mean=1333.26
Episode 63: reward=1600.67  mean=1337.50
Episode 64: reward=763.64  mean=1328.53
Episode 65: reward=597.81  mean=1317.29
Episode 66: reward=1368.03  mean=1318.06
Episode 67: reward=297.00  mean=1302.82
Episode 68: reward=1010.47  mean=1298.52
Episode 69: reward=1632.35  mean=1303.36
Episode 70: reward=1849.41  mean=1311.16
Episode 71: reward=1916.93  mean=1319.69
Episode 72: reward=624.90  mean=1310.04
Episode 73: reward=674.39  mean=1301.33
Episode 74: reward=534.19  mean=1290.97
Episode 75: reward=1136.02  mean=1288.90
Episode 76: reward=1886.39  mean=1296.76
Episode 77: reward=1853.57  mean=1303.99
Episode 78: reward=1399.93  mean=1305.22
Episode 79: reward=1333.58  mean=1305.58
Episode 80: reward=1890.81  mean=1312.90
Episode 81: reward=1215.31  mean=1311.69
Episode 82: reward=745.70  mean=1304.79
Episode 83: reward=818.78  mean=1298.94
Episode 84: reward=1328.53  mean=1299.29
Episode 85: reward=251.39  mean=1286.96
Episode 86: reward=590.44  mean=1278.86
Episode 87: reward=1859.14  mean=1285.53
Episode 88: reward=1770.97  mean=1291.05
Episode 89: reward=1582.91  mean=1294.33
Episode 90: reward=956.65  mean=1290.57
Episode 91: reward=1280.71  mean=1290.47
Episode 92: reward=1097.38  mean=1288.37
Episode 93: reward=606.18  mean=1281.03
Episode 94: reward=758.45  mean=1275.47
Episode 95: reward=1645.05  mean=1279.36
Episode 96: reward=1186.45  mean=1278.40
Episode 97: reward=1030.04  mean=1275.84
Episode 98: reward=712.04  mean=1270.08
Episode 99: reward=1868.76  mean=1276.13
Episode 100: reward=1078.79  mean=1274.16
Episode 101: reward=311.51  mean=1273.27
Episode 102: reward=1120.10  mean=1280.26
Episode 103: reward=1471.29  mean=1273.54
Episode 104: reward=522.35  mean=1258.09
Episode 105: reward=1032.07  mean=1255.39
Episode 106: reward=1147.46  mean=1247.00
Episode 107: reward=794.55  mean=1244.10
Episode 108: reward=291.52  mean=1241.86
Episode 109: reward=752.42  mean=1233.33
Episode 110: reward=937.45  mean=1232.97
Episode 111: reward=849.87  mean=1229.23
Episode 112: reward=1874.63  mean=1232.47
Episode 113: reward=685.06  mean=1232.35
